| table_name                 | column_name                  | ordinal_position | data_type                | full_data_type           | is_nullable | column_default                                                                                                                                              |
| -------------------------- | ---------------------------- | ---------------- | ------------------------ | ------------------------ | ----------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------- |
| advocates                  | id                           | 1                | uuid                     | uuid                     | NO          | uuid_generate_v4()                                                                                                                                          |
| advocates                  | email                        | 2                | text                     | text                     | NO          | null                                                                                                                                                        |
| advocates                  | full_name                    | 3                | text                     | text                     | NO          | null                                                                                                                                                        |
| advocates                  | initials                     | 4                | text                     | text                     | NO          | null                                                                                                                                                        |
| advocates                  | practice_number              | 5                | text                     | text                     | NO          | null                                                                                                                                                        |
| advocates                  | bar                          | 6                | USER-DEFINED             | USER-DEFINED             | NO          | null                                                                                                                                                        |
| advocates                  | year_admitted                | 7                | integer                  | integer(32,0)            | NO          | null                                                                                                                                                        |
| advocates                  | hourly_rate                  | 8                | numeric                  | numeric(10,2)            | NO          | 0                                                                                                                                                           |
| advocates                  | phone_number                 | 9                | text                     | text                     | YES         | null                                                                                                                                                        |
| advocates                  | chambers_address             | 10               | text                     | text                     | YES         | null                                                                                                                                                        |
| advocates                  | postal_address               | 11               | text                     | text                     | YES         | null                                                                                                                                                        |
| advocates                  | user_role                    | 12               | USER-DEFINED             | USER-DEFINED             | YES         | 'junior_advocate'::user_role                                                                                                                                |
| advocates                  | is_active                    | 13               | boolean                  | boolean                  | YES         | true                                                                                                                                                        |
| advocates                  | created_at                   | 14               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| advocates                  | updated_at                   | 15               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| attorney_matter_access     | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| attorney_matter_access     | attorney_user_id             | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| attorney_matter_access     | matter_id                    | 3                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| attorney_matter_access     | access_level                 | 4                | text                     | text                     | NO          | 'view'::text                                                                                                                                                |
| attorney_matter_access     | granted_at                   | 5                | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| attorney_matter_access     | granted_by                   | 6                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| attorney_matter_access     | revoked_at                   | 7                | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| attorney_matter_access     | revoked_by                   | 8                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| attorney_matter_access     | revoked_reason               | 9                | text                     | text                     | YES         | null                                                                                                                                                        |
| attorney_matter_access     | created_at                   | 10               | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| attorney_matter_access     | updated_at                   | 11               | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| attorney_users             | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| attorney_users             | email                        | 2                | text                     | text                     | NO          | null                                                                                                                                                        |
| attorney_users             | password_hash                | 3                | text                     | text                     | NO          | null                                                                                                                                                        |
| attorney_users             | firm_name                    | 4                | text                     | text                     | NO          | null                                                                                                                                                        |
| attorney_users             | attorney_name                | 5                | text                     | text                     | NO          | null                                                                                                                                                        |
| attorney_users             | practice_number              | 6                | text                     | text                     | YES         | null                                                                                                                                                        |
| attorney_users             | phone_number                 | 7                | text                     | text                     | YES         | null                                                                                                                                                        |
| attorney_users             | notification_preferences     | 8                | jsonb                    | jsonb                    | YES         | '{"sms": true, "email": true, "in_app": true, "invoice_issued": true, "invoice_overdue": true, "payment_received": true, "proforma_requests": true}'::jsonb |
| attorney_users             | status                       | 9                | text                     | text                     | NO          | 'active'::text                                                                                                                                              |
| attorney_users             | created_at                   | 10               | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| attorney_users             | updated_at                   | 11               | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| attorney_users             | last_login_at                | 12               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| attorney_users             | deleted_at                   | 13               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| audit_log                  | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| audit_log                  | user_type                    | 2                | text                     | text                     | NO          | null                                                                                                                                                        |
| audit_log                  | user_id                      | 3                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| audit_log                  | user_email                   | 4                | text                     | text                     | YES         | null                                                                                                                                                        |
| audit_log                  | action                       | 5                | text                     | text                     | NO          | null                                                                                                                                                        |
| audit_log                  | entity_type                  | 6                | text                     | text                     | NO          | null                                                                                                                                                        |
| audit_log                  | entity_id                    | 7                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| audit_log                  | changes                      | 8                | jsonb                    | jsonb                    | YES         | null                                                                                                                                                        |
| audit_log                  | metadata                     | 9                | jsonb                    | jsonb                    | YES         | null                                                                                                                                                        |
| audit_log                  | ip_address                   | 10               | text                     | text                     | YES         | null                                                                                                                                                        |
| audit_log                  | user_agent                   | 11               | text                     | text                     | YES         | null                                                                                                                                                        |
| audit_log                  | created_at                   | 12               | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| cloud_storage_connections  | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| cloud_storage_connections  | advocate_id                  | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| cloud_storage_connections  | provider                     | 3                | text                     | text                     | NO          | null                                                                                                                                                        |
| cloud_storage_connections  | provider_account_id          | 4                | text                     | text                     | NO          | null                                                                                                                                                        |
| cloud_storage_connections  | provider_account_email       | 5                | text                     | text                     | YES         | null                                                                                                                                                        |
| cloud_storage_connections  | provider_account_name        | 6                | text                     | text                     | YES         | null                                                                                                                                                        |
| cloud_storage_connections  | access_token                 | 7                | text                     | text                     | NO          | null                                                                                                                                                        |
| cloud_storage_connections  | refresh_token                | 8                | text                     | text                     | YES         | null                                                                                                                                                        |
| cloud_storage_connections  | token_expires_at             | 9                | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| cloud_storage_connections  | root_folder_id               | 10               | text                     | text                     | YES         | null                                                                                                                                                        |
| cloud_storage_connections  | root_folder_path             | 11               | text                     | text                     | YES         | '/AdvocateHub'::text                                                                                                                                        |
| cloud_storage_connections  | is_active                    | 12               | boolean                  | boolean                  | YES         | true                                                                                                                                                        |
| cloud_storage_connections  | is_primary                   | 13               | boolean                  | boolean                  | YES         | false                                                                                                                                                       |
| cloud_storage_connections  | last_sync_at                 | 14               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| cloud_storage_connections  | sync_status                  | 15               | text                     | text                     | YES         | 'active'::text                                                                                                                                              |
| cloud_storage_connections  | sync_error                   | 16               | text                     | text                     | YES         | null                                                                                                                                                        |
| cloud_storage_connections  | created_at                   | 17               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| cloud_storage_connections  | updated_at                   | 18               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| cloud_storage_sync_log     | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| cloud_storage_sync_log     | connection_id                | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| cloud_storage_sync_log     | sync_type                    | 3                | text                     | text                     | NO          | null                                                                                                                                                        |
| cloud_storage_sync_log     | local_document_id            | 4                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| cloud_storage_sync_log     | provider_file_id             | 5                | text                     | text                     | YES         | null                                                                                                                                                        |
| cloud_storage_sync_log     | provider_file_path           | 6                | text                     | text                     | YES         | null                                                                                                                                                        |
| cloud_storage_sync_log     | status                       | 7                | text                     | text                     | NO          | null                                                                                                                                                        |
| cloud_storage_sync_log     | error_message                | 8                | text                     | text                     | YES         | null                                                                                                                                                        |
| cloud_storage_sync_log     | file_size_bytes              | 9                | bigint                   | bigint(64,0)             | YES         | null                                                                                                                                                        |
| cloud_storage_sync_log     | sync_duration_ms             | 10               | integer                  | integer(32,0)            | YES         | null                                                                                                                                                        |
| cloud_storage_sync_log     | started_at                   | 11               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| cloud_storage_sync_log     | completed_at                 | 12               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| credit_notes               | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| credit_notes               | credit_note_number           | 2                | text                     | text                     | NO          | null                                                                                                                                                        |
| credit_notes               | invoice_id                   | 3                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| credit_notes               | dispute_id                   | 4                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| credit_notes               | advocate_id                  | 5                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| credit_notes               | amount                       | 6                | numeric                  | numeric(15,2)            | NO          | null                                                                                                                                                        |
| credit_notes               | reason                       | 7                | text                     | text                     | NO          | null                                                                                                                                                        |
| credit_notes               | reason_category              | 8                | text                     | text                     | YES         | null                                                                                                                                                        |
| credit_notes               | issued_at                    | 9                | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| credit_notes               | applied_at                   | 10               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| credit_notes               | status                       | 11               | text                     | text                     | NO          | 'draft'::text                                                                                                                                               |
| credit_notes               | created_at                   | 12               | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| credit_notes               | updated_at                   | 13               | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| credit_notes               | deleted_at                   | 14               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| document_cloud_storage     | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| document_cloud_storage     | document_upload_id           | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| document_cloud_storage     | connection_id                | 3                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| document_cloud_storage     | provider_file_id             | 4                | text                     | text                     | NO          | null                                                                                                                                                        |
| document_cloud_storage     | provider_file_path           | 5                | text                     | text                     | NO          | null                                                                                                                                                        |
| document_cloud_storage     | provider_web_url             | 6                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_cloud_storage     | provider_download_url        | 7                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_cloud_storage     | is_synced                    | 8                | boolean                  | boolean                  | YES         | true                                                                                                                                                        |
| document_cloud_storage     | last_synced_at               | 9                | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| document_cloud_storage     | local_hash                   | 10               | text                     | text                     | YES         | null                                                                                                                                                        |
| document_cloud_storage     | provider_hash                | 11               | text                     | text                     | YES         | null                                                                                                                                                        |
| document_cloud_storage     | created_at                   | 12               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| document_cloud_storage     | updated_at                   | 13               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| document_extracted_data    | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| document_extracted_data    | document_upload_id           | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| document_extracted_data    | client_name                  | 3                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | client_email                 | 4                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | client_phone                 | 5                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | client_address               | 6                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | law_firm                     | 7                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | case_title                   | 8                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | case_number                  | 9                | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | date_of_incident             | 10               | date                     | date                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | description                  | 11               | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | urgency                      | 12               | text                     | text                     | YES         | null                                                                                                                                                        |
| document_extracted_data    | estimated_amount             | 13               | numeric                  | numeric(15,2)            | YES         | null                                                                                                                                                        |
| document_extracted_data    | deadlines                    | 14               | jsonb                    | jsonb                    | YES         | '[]'::jsonb                                                                                                                                                 |
| document_extracted_data    | parties                      | 15               | jsonb                    | jsonb                    | YES         | '[]'::jsonb                                                                                                                                                 |
